Pathway,Group,Gene,Mean,SD,Q1,Q3,Ymin,Ymax,N
A-EJ,Heart / Heart right ventricle,Parp1,1798.12675593917,111.932287454736,1731.63005425121,1820.27302216344,1685.34711210522,1953.23747403178,10
A-EJ,Heart / Heart right ventricle,Polq,297.281075784442,85.0701518283291,234.906157164693,328.811910639085,189.960902539083,466.573666811106,10
A-EJ,Heart / Heart right ventricle,Lig1,93.2837327558564,13.7837560343903,84.323932660005,106.19786163552,74.0745015243121,114.379715551368,10
A-EJ,Heart / Heart right ventricle,Lig3,824.646870533328,102.452347981469,811.547366898251,868.036840337555,726.813156739295,952.771050496511,10
A-EJ,Kidney,Parp1,1666.32428584558,551.413487269078,1252.61315727176,2204.95082774017,767.566037887685,2795.70161258989,55
A-EJ,Kidney,Polq,41.541597268644,33.7977675929502,16.3415006682889,48.2710017417852,2.40644799160146,96.1652533520295,55
A-EJ,Kidney,Lig1,179.974361662039,58.0054474139644,125.837955591945,220.110372670247,74.8096556109438,290.369669486463,55
A-EJ,Kidney,Lig3,1175.48698096341,237.343273091411,1023.28746863251,1367.59428614577,675.348821082679,1668.00312123314,55
A-EJ,Left lobe of the liver,Parp1,1257.27877132593,226.952636168568,1032.2257715136,1411.27312116469,916.134256779898,1692.45088567815,24
A-EJ,Left lobe of the liver,Polq,13.7206687510818,8.89924681555751,6.4434153853973,18.4975294540161,0.391081695919551,29.7766571267696,24
A-EJ,Left lobe of the liver,Lig1,79.1719943234045,30.3617475033895,54.431561780224,91.9997587173475,36.0161591409677,148.352054123033,24
A-EJ,Left lobe of the liver,Lig3,920.18140760072,176.12462193806,815.100056804115,1030.96557806472,523.048702580837,1351.74402953976,24
A-EJ,Liver,Parp1,1258.11120051479,325.34307267193,1014.78202289011,1486.27910734047,808.2371427941,1843.40206865511,19
A-EJ,Liver,Polq,13.650177775918,8.65215791084295,7.59636887141744,18.5982788352415,1.25324414970618,31.8912674128195,19
A-EJ,Liver,Lig1,97.3288763667633,62.4400533796148,44.2248333849279,135.248593751583,22.4824462273794,271.784234301565,19
A-EJ,Liver,Lig3,854.446740973513,182.684239424979,704.647369050533,969.349397989657,516.937163850357,1163.63004880974,19
A-EJ,Lung,Parp1,1444.64771888744,239.151866694968,1332.91065354545,1625.41092004641,1095.29473558626,1898.52660612252,14
A-EJ,Lung,Polq,52.3314400443367,19.0486597122765,39.6343762093944,59.288757289409,24.6463956644646,88.770328909431,14
A-EJ,Lung,Lig1,290.648006786505,80.9033852302666,249.087030103107,331.320511229481,166.941280927581,452.495704357575,14
A-EJ,Lung,Lig3,1088.68545785949,254.542223864499,933.387658553363,1203.6784454373,799.057377006047,1609.11462576319,14
A-EJ,Mammary gland,Parp1,2897.15423208951,365.214827632188,2622.24232283779,3063.21665790705,2426.31957269471,3564.42171887277,10
A-EJ,Mammary gland,Polq,77.9157328532997,32.2084386011361,51.8145887522623,100.929736584589,24.8126625578856,119.39058574946,10
A-EJ,Mammary gland,Lig1,259.79686751219,59.9972748932729,211.076749479562,298.332866613759,168.565545120143,367.387066972976,10
A-EJ,Mammary gland,Lig3,1318.71766972264,171.678964113987,1241.08347544344,1371.23087333593,1117.46294527832,1566.45197017465,10
A-EJ,Optic nerve,Parp1,1949.83516988754,518.511224776969,1706.17623450923,2244.45622818018,1213.67452333337,2568.62576952014,5
A-EJ,Optic nerve,Polq,72.6097354828544,51.4116194754226,39.8252219240302,87.4334906514318,32.3963456215766,156.326553957395,5
