analysis_tissue,tissue_definition,term_key,term_name,go_id,term_order,term_role,n_missions,n_biological_experiments,n_analysis_units,mean_mission_nes,median_mission_nes,n_positive_missions,n_negative_missions,exact_signflip_p_two_sided,stouffer_meta_z,stouffer_p_two_sided,missions,exact_signflip_FDR_all_cells,stouffer_FDR_all_cells
Lung,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,2,2,-1.30882971249372,-1.30882971249372,0,1,1,-2.31804353472457,0.0204469551663834,SpaceX-21,1,0.0428726479295136
Femoral skin,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,-1.47100092107445,-1.47100092107445,0,1,1,-3.16870329950404,0.00153120619266277,SpaceX-12,1,0.00411841665612745
Bone marrow,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,-1.83670424101726,-1.83670424101726,0,1,1,-4.89549107092972,9.80605445933627e-07,SpaceX-14,1,4.29703510015859e-06
Cecum,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,-1.88980256875497,-1.88980256875497,0,1,1,-5.12804777127724,2.92762163618621e-07,SpaceX-21,1,1.3276423698984e-06
Thymus,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,3,4,4,-2.2198782952226,-2.04604675439199,0,3,0.25,-9.52742527112729,1.61232367560279e-21,SpaceX-12;SpaceX-21;SpaceX-9,1,6.28806233485086e-20
Optic nerve,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,1.82824939391232,1.82824939391232,1,0,1,4.26856647534173,1.9673320095712e-05,SpaceX-27,1,7.37749503589199e-05
Femoral lateral skin,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,1.46101197291533,1.46101197291533,1,0,1,2.4317885906456,0.0150244739232363,SpaceX-11,1,0.0330489823511378
Mammary gland,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,2,1.29752557391826,1.29752557391826,1,0,1,1.8641114021345,0.0623060616537691,SpaceX-16,1,0.11497641509434
Femoral skin,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,1.26306231788306,1.26306231788306,1,0,1,1.5845042332476,0.113079019073569,SpaceX-12,1,0.190089730339189
Quadriceps femoris,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,1.13366061582935,1.13366061582935,1,0,1,1.22733429778135,0.21969696969697,SpaceX-21,1,0.326471745116036
