ensembl_id,gene_symbol,set_01_Quadriceps_femoris,set_02_Tibialis_anterior,set_03_Optic_nerve,set_04_Spleen,set_05_Femoral_lateral_skin,set_06_Left_lobe_of_the_liver,set_07_Colon,set_08_Cerebellum,set_09_Heart,set_10_Eye,intersection_degree
ENSMUSG00000023018,Smarcd1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000023067,Cdkn1a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000023088,Abcc1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000023104,Rfc2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000023249,Parp3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000023411,Nfatc4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000023495,Pcbp4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000023883,Phf10,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000023932,Cdc5l,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000023953,Polh,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024002,Brd4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024006,Stk38,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024054,Smchd1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024142,Mlst8,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024151,Msh2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024155,Meiob,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024174,Pot1b,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024193,Phf1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024240,Epc1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024283,Wac,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024317,Rnf138,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024327,Slc39a7,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024382,Ercc3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024392,Bag6,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024401,Tnf,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024429,Gnl1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024442,Dele1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024454,Hdac3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024521,Pmaip1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024533,Spire1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024610,Cd74,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024691,Fam111a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024735,Prpf19,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024740,Ddb1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024742,Fen1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024767,Otub1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024786,Majin,0,0,1,1,1,1,1,1,0,1,7
ENSMUSG00000024791,Cdca5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024803,Ankrd1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024824,Rad9a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024826,Dpf2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024831,Ighmbp2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024844,Banf1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024854,Pold4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024906,Mus81,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024921,Smarca2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024925,Rnaseh2c,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024926,Kat5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024943,Smc5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024947,Men1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024959,Bad,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000024970,Spindoc,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025001,Hells,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025014,Dntt,1,1,1,1,0,1,1,1,1,1,9
ENSMUSG00000025049,Taf5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025066,Sfr1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025077,Dclre1a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025138,Sirt7,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025144,Cenpx,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025157,Zdhhc16,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025218,Poll,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025261,Huwe1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025269,Apex2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025358,Cdk2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025369,Smarcc2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025374,Nabp2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025384,Faap100,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025467,Prap1,0,0,1,1,0,1,1,0,0,1,5
ENSMUSG00000025507,Pidd1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025578,Cbx8,1,1,1,1,1,1,1,1,1,1,10
