Tissue,Flight_Samples_Count,Pathway_1,Pathway_2,Spearman_Rho
Bone marrow,6,telomere_region_GO0000781,translation_GO0006412,0.2571428571428571
Bone marrow,6,telomere_region_GO0000781,mitochondrion_GO0005739,0.1428571428571428
Bone marrow,6,telomere_region_GO0000781,mechanosensation_GO0050954,0.2571428571428571
Bone marrow,6,telomere_region_GO0000781,cytoskeleton_GO0005856,0.3142857142857143
Bone marrow,6,telomere_region_GO0000781,cell_death_GO0008219,0.3142857142857143
Bone marrow,6,cell_cycle_GO0007049,DNA_replication_GO0006260,0.7714285714285715
Bone marrow,6,cell_cycle_GO0007049,DNA_templated_transcription_GO0006351,0.7142857142857143
Bone marrow,6,cell_cycle_GO0007049,translation_GO0006412,0.5428571428571428
Bone marrow,6,cell_cycle_GO0007049,mitochondrion_GO0005739,0.3714285714285714
Bone marrow,6,cell_cycle_GO0007049,mechanosensation_GO0050954,0.7142857142857143
Bone marrow,6,cell_cycle_GO0007049,cytoskeleton_GO0005856,0.8285714285714286
Bone marrow,6,cell_cycle_GO0007049,cell_death_GO0008219,0.8285714285714286
Bone marrow,6,DNA_replication_GO0006260,DNA_templated_transcription_GO0006351,0.1428571428571428
Bone marrow,6,DNA_replication_GO0006260,translation_GO0006412,0.6571428571428571
Bone marrow,6,DNA_replication_GO0006260,mitochondrion_GO0005739,0.6
Bone marrow,6,DNA_replication_GO0006260,mechanosensation_GO0050954,0.3714285714285714
Bone marrow,6,DNA_replication_GO0006260,cytoskeleton_GO0005856,0.4285714285714285
Bone marrow,6,DNA_replication_GO0006260,cell_death_GO0008219,0.4285714285714285
Bone marrow,6,DNA_templated_transcription_GO0006351,translation_GO0006412,0.1428571428571428
Bone marrow,6,DNA_templated_transcription_GO0006351,mitochondrion_GO0005739,-0.0857142857142857
Bone marrow,6,DNA_templated_transcription_GO0006351,mechanosensation_GO0050954,0.5428571428571428
Bone marrow,6,DNA_templated_transcription_GO0006351,cytoskeleton_GO0005856,0.7714285714285715
Bone marrow,6,DNA_templated_transcription_GO0006351,cell_death_GO0008219,0.7714285714285715
Bone marrow,6,translation_GO0006412,mitochondrion_GO0005739,0.9428571428571428
Bone marrow,6,translation_GO0006412,mechanosensation_GO0050954,0.0285714285714285
Bone marrow,6,translation_GO0006412,cytoskeleton_GO0005856,0.6
Bone marrow,6,translation_GO0006412,cell_death_GO0008219,0.6
Bone marrow,6,mitochondrion_GO0005739,mechanosensation_GO0050954,-0.0857142857142857
Bone marrow,6,mitochondrion_GO0005739,cytoskeleton_GO0005856,0.4857142857142857
Bone marrow,6,mitochondrion_GO0005739,cell_death_GO0008219,0.4857142857142857
Bone marrow,6,mechanosensation_GO0050954,cytoskeleton_GO0005856,0.6
Bone marrow,6,mechanosensation_GO0050954,cell_death_GO0008219,0.6
Bone marrow,6,cytoskeleton_GO0005856,cell_death_GO0008219,1.0
Cecum,5,DNA_damage_response_GO0006974,DNA_repair_GO0006281,1.0
Cecum,5,DNA_damage_response_GO0006974,DNA_damage_signal_transduction_GO0042770,1.0
Cecum,5,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.7
Cecum,5,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,1.0
Cecum,5,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.9
Cecum,5,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.0
Cecum,5,DNA_damage_response_GO0006974,cell_cycle_GO0007049,0.9
Cecum,5,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.9
Cecum,5,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.8
Cecum,5,DNA_damage_response_GO0006974,translation_GO0006412,0.9
Cecum,5,DNA_damage_response_GO0006974,mitochondrion_GO0005739,-0.4
Cecum,5,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.5
Cecum,5,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.7
Cecum,5,DNA_damage_response_GO0006974,cell_death_GO0008219,0.9
Cecum,5,DNA_repair_GO0006281,DNA_damage_signal_transduction_GO0042770,1.0
Cecum,5,DNA_repair_GO0006281,intrinsic_apoptotic_signaling_GO0008630,0.7
Cecum,5,DNA_repair_GO0006281,DNA_damage_tolerance_GO0006301,1.0
Cecum,5,DNA_repair_GO0006281,telomere_maintenance_GO0043247,0.9
Cecum,5,DNA_repair_GO0006281,telomere_region_GO0000781,1.0
Cecum,5,DNA_repair_GO0006281,cell_cycle_GO0007049,0.9
Cecum,5,DNA_repair_GO0006281,DNA_replication_GO0006260,0.9
Cecum,5,DNA_repair_GO0006281,DNA_templated_transcription_GO0006351,0.8
Cecum,5,DNA_repair_GO0006281,translation_GO0006412,0.9
Cecum,5,DNA_repair_GO0006281,mitochondrion_GO0005739,-0.4
Cecum,5,DNA_repair_GO0006281,mechanosensation_GO0050954,0.5
Cecum,5,DNA_repair_GO0006281,cytoskeleton_GO0005856,0.7
Cecum,5,DNA_repair_GO0006281,cell_death_GO0008219,0.9
Cecum,5,DNA_damage_signal_transduction_GO0042770,intrinsic_apoptotic_signaling_GO0008630,0.7
Cecum,5,DNA_damage_signal_transduction_GO0042770,DNA_damage_tolerance_GO0006301,1.0
Cecum,5,DNA_damage_signal_transduction_GO0042770,telomere_maintenance_GO0043247,0.9
Cecum,5,DNA_damage_signal_transduction_GO0042770,telomere_region_GO0000781,1.0
Cecum,5,DNA_damage_signal_transduction_GO0042770,cell_cycle_GO0007049,0.9
Cecum,5,DNA_damage_signal_transduction_GO0042770,DNA_replication_GO0006260,0.9
Cecum,5,DNA_damage_signal_transduction_GO0042770,DNA_templated_transcription_GO0006351,0.8
Cecum,5,DNA_damage_signal_transduction_GO0042770,translation_GO0006412,0.9
Cecum,5,DNA_damage_signal_transduction_GO0042770,mitochondrion_GO0005739,-0.4
Cecum,5,DNA_damage_signal_transduction_GO0042770,mechanosensation_GO0050954,0.5
Cecum,5,DNA_damage_signal_transduction_GO0042770,cytoskeleton_GO0005856,0.7
Cecum,5,DNA_damage_signal_transduction_GO0042770,cell_death_GO0008219,0.9
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,DNA_damage_tolerance_GO0006301,0.7
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,telomere_maintenance_GO0043247,0.9
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,telomere_region_GO0000781,0.7
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,cell_cycle_GO0007049,0.5
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,DNA_replication_GO0006260,0.6
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,DNA_templated_transcription_GO0006351,0.7
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,translation_GO0006412,0.9
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,mitochondrion_GO0005739,0.1
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,mechanosensation_GO0050954,0.6
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,cytoskeleton_GO0005856,0.2
Cecum,5,intrinsic_apoptotic_signaling_GO0008630,cell_death_GO0008219,0.9
Cecum,5,DNA_damage_tolerance_GO0006301,telomere_maintenance_GO0043247,0.9
Cecum,5,DNA_damage_tolerance_GO0006301,telomere_region_GO0000781,1.0
Cecum,5,DNA_damage_tolerance_GO0006301,cell_cycle_GO0007049,0.9
Cecum,5,DNA_damage_tolerance_GO0006301,DNA_replication_GO0006260,0.9
Cecum,5,DNA_damage_tolerance_GO0006301,DNA_templated_transcription_GO0006351,0.8
Cecum,5,DNA_damage_tolerance_GO0006301,translation_GO0006412,0.9
Cecum,5,DNA_damage_tolerance_GO0006301,mitochondrion_GO0005739,-0.4
Cecum,5,DNA_damage_tolerance_GO0006301,mechanosensation_GO0050954,0.5
Cecum,5,DNA_damage_tolerance_GO0006301,cytoskeleton_GO0005856,0.7
Cecum,5,DNA_damage_tolerance_GO0006301,cell_death_GO0008219,0.9
Cecum,5,telomere_maintenance_GO0043247,telomere_region_GO0000781,0.9
Cecum,5,telomere_maintenance_GO0043247,cell_cycle_GO0007049,0.8
Cecum,5,telomere_maintenance_GO0043247,DNA_replication_GO0006260,0.7
Cecum,5,telomere_maintenance_GO0043247,DNA_templated_transcription_GO0006351,0.9
Cecum,5,telomere_maintenance_GO0043247,translation_GO0006412,1.0
Cecum,5,telomere_maintenance_GO0043247,mitochondrion_GO0005739,0.0
Cecum,5,telomere_maintenance_GO0043247,mechanosensation_GO0050954,0.7
Cecum,5,telomere_maintenance_GO0043247,cytoskeleton_GO0005856,0.5
Cecum,5,telomere_maintenance_GO0043247,cell_death_GO0008219,1.0
Cecum,5,telomere_region_GO0000781,cell_cycle_GO0007049,0.9
Cecum,5,telomere_region_GO0000781,DNA_replication_GO0006260,0.9
Cecum,5,telomere_region_GO0000781,DNA_templated_transcription_GO0006351,0.8
Cecum,5,telomere_region_GO0000781,translation_GO0006412,0.9
Cecum,5,telomere_region_GO0000781,mitochondrion_GO0005739,-0.4
Cecum,5,telomere_region_GO0000781,mechanosensation_GO0050954,0.5
Cecum,5,telomere_region_GO0000781,cytoskeleton_GO0005856,0.7
Cecum,5,telomere_region_GO0000781,cell_death_GO0008219,0.9
Cecum,5,cell_cycle_GO0007049,DNA_replication_GO0006260,0.7
Cecum,5,cell_cycle_GO0007049,DNA_templated_transcription_GO0006351,0.9
Cecum,5,cell_cycle_GO0007049,translation_GO0006412,0.8
Cecum,5,cell_cycle_GO0007049,mitochondrion_GO0005739,-0.3
Cecum,5,cell_cycle_GO0007049,mechanosensation_GO0050954,0.7
Cecum,5,cell_cycle_GO0007049,cytoskeleton_GO0005856,0.9
Cecum,5,cell_cycle_GO0007049,cell_death_GO0008219,0.8
Cecum,5,DNA_replication_GO0006260,DNA_templated_transcription_GO0006351,0.5
Cecum,5,DNA_replication_GO0006260,translation_GO0006412,0.7
Cecum,5,DNA_replication_GO0006260,mitochondrion_GO0005739,-0.7
Cecum,5,DNA_replication_GO0006260,mechanosensation_GO0050954,0.2
Cecum,5,DNA_replication_GO0006260,cytoskeleton_GO0005856,0.6
Cecum,5,DNA_replication_GO0006260,cell_death_GO0008219,0.7
Cecum,5,DNA_templated_transcription_GO0006351,translation_GO0006412,0.9
Cecum,5,DNA_templated_transcription_GO0006351,mitochondrion_GO0005739,0.1
Cecum,5,DNA_templated_transcription_GO0006351,mechanosensation_GO0050954,0.9
Cecum,5,DNA_templated_transcription_GO0006351,cytoskeleton_GO0005856,0.7
Cecum,5,DNA_templated_transcription_GO0006351,cell_death_GO0008219,0.9
