Tissue,GO_ID,GO_Term_Name,n_missions,n_analysis_units,Mean_Mission_NES,Median_Mission_NES,n_positive_missions,n_negative_missions,Signflip_P_value,Signflip_FDR,Stouffer_Meta_Z,Stouffer_P_value,Stouffer_FDR
Eye,GO:0050954,Sensory perception of mechanical stimulus,2,2,-1.41002118751229,-1.41002118751229,0,2,0.5,1,-4.22442691672009,2.39549571073441e-05,8.81361629421152e-05
Spleen,GO:0005856,Cytoskeleton,1,1,1.6302523806317,1.6302523806317,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Colon,GO:0005856,Cytoskeleton,1,1,1.52142383993197,1.52142383993197,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Heart,GO:0005856,Cytoskeleton,1,1,1.32371925903929,1.32371925903929,1,0,1.0,1,5.31661705062332,1.05714227952314e-07,5.08994430881513e-07
Extensor digitorum longus,GO:0005856,Cytoskeleton,2,2,1.31329655374385,1.31329655374385,2,0,0.5,1,6.33638972620643,2.35211385141612e-10,1.66786254918598e-09
Spleen-distal,GO:0005856,Cytoskeleton,1,1,1.27726443432901,1.27726443432901,1,0,1.0,1,4.10317296927739,4.07522343656794e-05,0.0001471608463205
Optic nerve,GO:0005856,Cytoskeleton,1,1,1.22695552637234,1.22695552637234,1,0,1.0,1,4.05454142596391,5.02327482826611e-05,0.000176493439912
Lung,GO:0005856,Cytoskeleton,1,2,1.20620406858017,1.20620406858017,1,0,1.0,1,3.23347554362026,0.0012229380647341,0.0033352856310931
Cecum,GO:0005856,Cytoskeleton,1,1,1.15044047741583,1.15044047741583,1,0,1.0,1,2.6110164925098,0.009027354010074,0.0213373822056295
Mammary gland,GO:0005856,Cytoskeleton,1,2,1.13263175741476,1.13263175741476,1,0,1.0,1,2.78192787487503,0.0054037047633881,0.0133382585931732
Femoral lateral skin,GO:0005856,Cytoskeleton,1,1,1.04298326453563,1.04298326453563,1,0,1.0,1,1.30089649622021,0.193293885601577,0.295625942684764
Kidney,GO:0005856,Cytoskeleton,4,9,1.03340958431817,0.608726917910286,3,1,0.625,1,2.46976185180531,0.0135203027066428,0.0304792951190213
Soleus,GO:0005856,Cytoskeleton,3,3,0.414710761783437,1.24583231947785,2,1,1.0,1,2.12730122541473,0.0333950630141056,0.066112053682747
Dorsal skin,GO:0005856,Cytoskeleton,2,5,0.276257972870179,0.276257972870179,1,1,1.0,1,0.100294013237483,0.920110910273458,0.954370359060235
Heart / Heart right ventricle,GO:0005856,Cytoskeleton,1,2,0.09046512902536,0.09046512902536,1,0,1.0,1,1.48023545385077,0.138810421901919,0.227716027857617
Adrenal gland,GO:0005856,Cytoskeleton,2,2,0.06913276843605,0.06913276843605,1,1,1.0,1,1.25815634520522,0.208335219280646,0.31250282892097
Gastrocnemius,GO:0005856,Cytoskeleton,1,2,0.0219091389192501,0.0219091389192501,1,0,1.0,1,0.306894293804755,0.758923832518832,0.838723649992061
Eye,GO:0005856,Cytoskeleton,2,2,-0.252425449702027,-0.252425449702027,1,1,1.0,1,-3.04696173198765,0.0023116713778899,0.0061750125847744
Liver,GO:0005856,Cytoskeleton,3,5,-0.404086436878392,-1.12413942185916,1,2,0.75,1,-2.20405922007755,0.0275201795877198,0.0562960061778462
Left lobe of the liver,GO:0005856,Cytoskeleton,2,3,-0.491552653149723,-0.491552653149723,1,1,1.0,1,-0.213479244839014,0.830953176218331,0.889275190896
Thymus,GO:0005856,Cytoskeleton,3,4,-0.508097936464757,-1.39787177082084,1,2,0.5,1,-2.86421833191278,0.0041803975971659,0.0106559154437563
Retina,GO:0005856,Cytoskeleton,4,4,-0.745502396704995,-1.30475454237242,1,3,0.25,1,-6.28968278894156,3.1811533268098e-10,2.10279626687427e-09
Quadriceps femoris,GO:0005856,Cytoskeleton,1,1,-1.20646552534399,-1.20646552534399,0,1,1.0,1,-3.85642101928543,0.000115059250298,0.0003708521290598
Bone marrow,GO:0005856,Cytoskeleton,1,1,-1.34141247726737,-1.34141247726737,0,1,1.0,1,-5.92447514000335,3.1329639889915304e-09,1.69702216070374e-08
Cerebellum,GO:0005856,Cytoskeleton,1,1,-1.38309582243394,-1.38309582243394,0,1,1.0,1,-6.14244403254494,8.126131421574e-10,4.7301362006177e-09
Tibialis anterior,GO:0005856,Cytoskeleton,1,1,-1.40786049373318,-1.40786049373318,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Femoral skin,GO:0005856,Cytoskeleton,1,1,-1.73402375860364,-1.73402375860364,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Colon,GO:0008219,Cell death,1,1,1.67340516915812,1.67340516915812,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Femoral lateral skin,GO:0008219,Cell death,1,1,1.59689350039831,1.59689350039831,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Bone marrow,GO:0008219,Cell death,1,1,1.49343871333188,1.49343871333188,1,0,1.0,1,6.17904705027998,6.44896761703773e-10,3.869380570222641e-09
Cecum,GO:0008219,Cell death,1,1,1.44644222432578,1.44644222432578,1,0,1.0,1,6.15623451841846,7.449488670626691e-10,4.40197057809759e-09
Spleen-distal,GO:0008219,Cell death,1,1,1.28697946731068,1.28697946731068,1,0,1.0,1,3.85786968937502,0.0001143795980736,0.0003708521290598
Optic nerve,GO:0008219,Cell death,1,1,1.27889600216562,1.27889600216562,1,0,1.0,1,4.32957021840155,1.49400628169852e-05,5.71237695943551e-05
Thymus,GO:0008219,Cell death,3,4,1.27708099426215,1.25917632672502,3,0,0.25,1,7.0994636817942,1.2524195131063999e-12,2.5707558426920797e-11
Mammary gland,GO:0008219,Cell death,1,2,1.27172481276167,1.27172481276167,1,0,1.0,1,4.33563852929213,1.45337609340897e-05,5.61204630128218e-05
Kidney,GO:0008219,Cell death,4,9,1.22825237937578,0.872181186008981,4,0,0.125,1,6.39280332998305,1.6287169513635801e-10,1.17629557598481e-09
Femoral skin,GO:0008219,Cell death,1,1,1.21637639819638,1.21637639819638,1,0,1.0,1,3.02635403152742,0.0024752229985061,0.006566918159302
Spleen,GO:0008219,Cell death,1,1,1.20253742818375,1.20253742818375,1,0,1.0,1,2.79662912500913,0.0051638771855326,0.0129096929638316
Gastrocnemius,GO:0008219,Cell death,1,2,1.11811501068816,1.11811501068816,1,0,1.0,1,2.02948531522707,0.0424088831993966,0.0826973222388234
Heart,GO:0008219,Cell death,1,1,1.08918761699558,1.08918761699558,1,0,1.0,1,2.03960981053722,0.041389204141405,0.0811145206791355
Soleus,GO:0008219,Cell death,3,3,0.544957329695127,1.28447863944572,2,1,0.75,1,3.67844631185395,0.0002346590724972,0.000720606600582
Extensor digitorum longus,GO:0008219,Cell death,2,2,0.20520994620245,0.20520994620245,1,1,1.0,1,1.71083916607192,0.0871108072150249,0.154423703699362
Heart / Heart right ventricle,GO:0008219,Cell death,1,2,0.178597756153499,0.178597756153499,1,0,1.0,1,2.22263471588513,0.0262404413151493,0.0544349580473843
Dorsal skin,GO:0008219,Cell death,2,5,0.0109506596209751,0.0109506596209751,1,1,1.0,1,0.225182187786126,0.82183754571475,0.88296595820593
Lung,GO:0008219,Cell death,1,2,-0.13350422641405,-0.13350422641405,0,1,1.0,1,-1.60845432587965,0.107735711763591,0.182682293860002
Eye,GO:0008219,Cell death,2,2,-0.372186436524723,-0.372186436524723,1,1,1.0,1,-4.47870154333785,7.50984456735477e-06,2.98861161353914e-05
Left lobe of the liver,GO:0008219,Cell death,2,3,-0.797579284882463,-0.797579284882463,0,2,0.5,1,-5.07328450742171,3.91007218519317e-07,1.73287290025606e-06
Liver,GO:0008219,Cell death,3,5,-0.846040120943284,-1.21320850313685,0,3,0.25,1,-4.65813450315854,3.19087715069828e-06,1.30993904081298e-05
Adrenal gland,GO:0008219,Cell death,2,2,-1.30089822168298,-1.30089822168298,0,2,0.5,1,-6.20787694023754,5.370517786433011e-10,3.3246062487442503e-09
Quadriceps femoris,GO:0008219,Cell death,1,1,-1.32830613351903,-1.32830613351903,0,1,1.0,1,-4.87526523989495,1.08662352410689e-06,4.70870193779653e-06
Retina,GO:0008219,Cell death,4,4,-1.33015363829477,-1.21968946219795,0,4,0.125,1,-8.10530231993295,5.26145235781993e-16,1.46569029967841e-14
Tibialis anterior,GO:0008219,Cell death,1,1,-1.34945029317677,-1.34945029317677,0,1,1.0,1,-5.5070559197773,3.64884381990569e-08,1.82442190995285e-07
Cerebellum,GO:0008219,Cell death,1,1,-1.40006078089595,-1.40006078089595,0,1,1.0,1,-5.67465480850652,1.38968594429312e-08,7.13128313518836e-08
