Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Cecum,FA,ENSMUSG00000028453,Fancg,60534,-0.390142678351653,0.196568995084796,1.0,1,1,5
Cecum,FA,ENSMUSG00000004018,Fancl,67030,-0.291006523361726,0.197587013560842,1.0,1,1,5
Cecum,FA,ENSMUSG00000026429,Ube2t,67196,-0.415351638321543,0.299498517514215,1.0,1,1,5
Cecum,FA,ENSMUSG00000055884,Fancm,104806,-0.0032235281996962,0.99304666065529,1.0,1,1,5
Cecum,FA,ENSMUSG00000003662,Ciao1,26371,0.32892945822093,0.182562701162513,1.0,1,1,5
Cecum,FA,ENSMUSG00000031879,Ciao2b,68523,-0.337994668384564,0.173397401058425,1.0,1,1,5
Cecum,FA,ENSMUSG00000025384,Faap100,71885,0.30936534743814,0.255406465183678,1.0,1,1,5
Cecum,FA,ENSMUSG00000073684,Faap20,67513,0.20957216623037,0.295670755944639,1.0,1,1,5
Cecum,FA,ENSMUSG00000030493,Faap24,101831,-0.144009168654148,0.636353514530396,1.0,1,1,5
Cecum,FA,ENSMUSG00000034023,Fancd2,211651,-0.48805899430297,0.136019905646138,1.0,1,1,5
Cecum,FA,ENSMUSG00000039187,Fanci,208836,-0.672621480663699,0.0277158904977878,0.939995459763904,1,1,5
Cerebellum,BER,ENSMUSG00000029591,Ung,22256,-0.0555201371168965,0.763166887557194,0.960192240125366,1,1,9
Cerebellum,BER,ENSMUSG00000030271,Ogg1,18294,0.169960059690181,0.32077876650879,0.790170478761055,1,1,9
Cerebellum,BER,ENSMUSG00000032298,Neil1,72774,0.150400910082496,0.491930038113936,0.882009116752937,1,1,9
Cerebellum,BER,ENSMUSG00000035960,Apex1,11792,0.104210847897194,0.410694076375131,0.84432200016571,1,1,9
Cerebellum,BER,ENSMUSG00000002963,Pnkp,59047,0.17785277131965,0.400402350001651,0.839382316340875,1,1,9
Cerebellum,BER,ENSMUSG00000024742,Fen1,14156,0.0567178460577336,0.623701361007415,0.928063068781152,1,1,9
Cerebellum,NER,ENSMUSG00000028329,Xpa,22590,0.615161765805964,1.6645953683886602e-10,1.73073102283271e-07,1,1,9
Cerebellum,NER,ENSMUSG00000030094,Xpc,22591,0.067494334287333,0.550292579255675,0.905095855613898,1,1,9
