analysis_tissue,pathway_1_key,pathway_2_key,fisher_z,z_capped
Extensor digitorum longus,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.30951960420311175,False
Eye,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.009091159541595216,False
Femoral lateral skin,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.9007578220867098,False
Gastrocnemius,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.2281187167407938,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,mitochondrion_GO0005739,-0.5863601304109157,False
Kidney,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.1360423369355286,False
Left lobe of the liver,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.027833272125499523,False
Liver,DNA_damage_response_GO0006974,mitochondrion_GO0005739,-0.0738179994030323,False
Lung,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.47988792190694696,False
Mammary gland,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.09116077839697732,False
Optic nerve,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.10033534773107558,False
Quadriceps femoris,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.06676569631226131,False
Retina,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.5220010866624234,False
Soleus,DNA_damage_response_GO0006974,mitochondrion_GO0005739,-0.3212420029579956,False
Spleen,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.1511404359364668,False
Spleen-distal,DNA_damage_response_GO0006974,mitochondrion_GO0005739,1.0819994648539495,False
Thymus,DNA_damage_response_GO0006974,mitochondrion_GO0005739,-0.24489994103012017,False
Tibialis anterior,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.2377118483575374,False
Adrenal gland,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.0021978057365190473,False
Bone marrow,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.32529378307057466,False
Cecum,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.5493061443340549,False
Cerebellum,DNA_damage_response_GO0006974,mechanosensation_GO0050954,1.1467263047153866,False
Dorsal skin,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.8185956383160629,False
Extensor digitorum longus,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.48023097509364626,False
Eye,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.5253494664861061,False
Femoral lateral skin,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.36544375427139614,False
