ComponentOrder,Group,Pathway,PathwayOrder,PathwayDisplay,ComponentOrderWithinPathway,RequestedComponent,MappingStatus,DisplayComponent,OfficialMouseSymbol,EnsemblID,MGI_ID,EntrezID,TissueYARNNormalizedLog2,TissueInputExpressionLog2,TissueSourceExpressionPlus1,MissionN,ObservedMissionN,AnalysisUnitN,FlightSampleN,TissueChinese,TissueLabel,TissueOrder,LookupMouseSymbol,GeneBiotype,Sheet,RowInSheet,PlotPathwayDisplay,PlotComponentOrder
44,Left lobe of the liver,NER,6,NER,8,DDB2,reviewed teacher label/alias -> official mouse symbol,Ddb2,Ddb2,ENSMUSG00000002109,MGI:1355314,107986,7.29478938293847,7.22101129789751,171.675322702238,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ddb2,protein_coding,SSB_others,15,NER,43
45,Left lobe of the liver,NER,6,NER,9,XPB,reviewed teacher label/alias -> official mouse symbol,Ercc3,Ercc3,ENSMUSG00000024382,MGI:95414,13872,9.52453112850712,9.56195467195952,968.179624397205,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ercc3,protein_coding,SSB_others,16,NER,44
46,Left lobe of the liver,NER,6,NER,10,XPD,reviewed teacher label/alias -> official mouse symbol,Ercc2,Ercc2,ENSMUSG00000030400,MGI:95413,13871,8.08749485064454,8.04330790736303,283.195382065225,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ercc2,protein_coding,SSB_others,17,NER,45
47,Left lobe of the liver,NER,6,NER,11,p8,reviewed teacher label/alias -> official mouse symbol,Gtf2h5,Gtf2h5,ENSMUSG00000034345,MGI:107227,66467,10.6186961024489,10.6640389427648,1902.45311065382,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Gtf2h5,protein_coding,SSB_others,18,NER,46
48,Left lobe of the liver,NER,6,NER,12,p34,reviewed teacher label/alias -> official mouse symbol,Gtf2h3,Gtf2h3,ENSMUSG00000029387,MGI:1277143,209357,8.95112946181569,8.97278784679163,633.186787493027,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Gtf2h3,protein_coding,SSB_others,19,NER,47
49,Left lobe of the liver,NER,6,NER,13,p44,reviewed teacher label/alias -> official mouse symbol,Gtf2h2,Gtf2h2,ENSMUSG00000021639,MGI:1345669,23894,8.31291062943898,8.27690060171011,343.553016363986,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Gtf2h2,protein_coding,SSB_others,20,NER,48
50,Left lobe of the liver,NER,6,NER,14,p52,reviewed teacher label/alias -> official mouse symbol,Gtf2h4,Gtf2h4,ENSMUSG00000001524,MGI:1338799,14885,7.79116176982007,7.73928798746918,231.884727699495,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Gtf2h4,protein_coding,SSB_others,21,NER,49
51,Left lobe of the liver,NER,6,NER,15,p62,reviewed teacher label/alias -> official mouse symbol,Gtf2h1,Gtf2h1,ENSMUSG00000006599,MGI:1277216,14884,10.1014924495348,10.145062790969,1365.01784817381,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Gtf2h1,protein_coding,SSB_others,22,NER,50
52,Left lobe of the liver,NER,6,NER,16,ERCC1,reviewed teacher label/alias -> official mouse symbol,Ercc1,Ercc1,ENSMUSG00000003549,MGI:95412,13870,6.59092184843547,6.49047785545255,113.878321133297,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ercc1,protein_coding,SSB_others,23,NER,51
53,Left lobe of the liver,NER,6,NER,17,XPF,reviewed teacher label/alias -> official mouse symbol,Ercc4,Ercc4,ENSMUSG00000022545,MGI:1354163,50505,7.77438359273389,7.72225361076891,237.983550218038,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ercc4,protein_coding,SSB_others,24,NER,52
54,Left lobe of the liver,NER,6,NER,18,XPG,reviewed teacher label/alias -> official mouse symbol,Ercc5,Ercc5,ENSMUSG00000026048,MGI:103582,22592,8.90050189596235,8.90334208467392,538.061280339392,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ercc5,protein_coding,SSB_others,25,NER,53
55,Left lobe of the liver,MMR,7,MMR,1,MSH1,teacher label corrected to mammalian MLH1; no mouse Msh1 record,Mlh1,Mlh1,ENSMUSG00000032498,MGI:101938,17350,8.84813713771407,8.85196958543181,545.503285067684,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Mlh1,protein_coding,SSB_others,26,MMR,54
56,Left lobe of the liver,MMR,7,MMR,2,MSH2,reviewed teacher label/alias -> official mouse symbol,Msh2,Msh2,ENSMUSG00000024151,MGI:101816,17685,8.40118340697932,8.37532918696994,366.996416315115,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Msh2,protein_coding,SSB_others,27,MMR,55
57,Left lobe of the liver,MMR,7,MMR,3,MSH3,reviewed teacher label/alias -> official mouse symbol,Msh3,Msh3,ENSMUSG00000014850,MGI:109519,17686,9.01999122995958,9.03065964531262,608.223284956084,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Msh3,protein_coding,SSB_others,28,MMR,56
58,Left lobe of the liver,MMR,7,MMR,4,MSH6,reviewed teacher label/alias -> official mouse symbol,Msh6,Msh6,ENSMUSG00000005370,MGI:1343961,17688,9.05960352454766,9.07433036526683,635.010122952658,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Msh6,protein_coding,SSB_others,29,MMR,57
59,Left lobe of the liver,MMR,7,MMR,5,PMS2,reviewed teacher label/alias -> official mouse symbol,Pms2,Pms2,ENSMUSG00000079109,MGI:104288,18861,7.22237402854043,7.14885790434269,163.710234361366,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Pms2,protein_coding,SSB_others,30,MMR,58
