family,ensembl_id,display_symbol,all_source_symbols,mgi_id,set_01_Cecum,set_02_Femoral_skin,set_03_Bone_marrow,set_04_Spleen_distal,set_05_Retina,set_06_Heart_Heart_right_ventricle
down_tissues,ENSMUSG00000028411,Aptx,Aptx,MGI:1913658,1,1,1,1,1,1
down_tissues,ENSMUSG00000028426,Rad23b,Rad23b,MGI:105128,1,1,1,1,1,1
down_tissues,ENSMUSG00000028452,Vcp,Vcp,MGI:99919,1,1,1,1,1,1
down_tissues,ENSMUSG00000028453,Fancg,Fancg,MGI:1926471,1,1,1,1,1,1
down_tissues,ENSMUSG00000028560,Usp1,Usp1,MGI:2385198,1,1,1,1,1,1
down_tissues,ENSMUSG00000028599,Tnfrsf1b,Tnfrsf1b,MGI:1314883,1,1,1,1,1,1
down_tissues,ENSMUSG00000028629,Exo5,Exo5,MGI:1920422,1,1,1,1,1,1
down_tissues,ENSMUSG00000028630,Dyrk2,Dyrk2,MGI:1330301,1,1,1,1,1,1
down_tissues,ENSMUSG00000028633,Ctps1,Ctps1,MGI:1858304,1,1,1,1,1,1
down_tissues,ENSMUSG00000028680,Plk3,Plk3,MGI:109604,1,1,1,1,1,1
down_tissues,ENSMUSG00000028687,Mutyh,Mutyh,MGI:1917853,1,1,1,1,1,1
down_tissues,ENSMUSG00000028702,Rad54l,Rad54l,MGI:894697,1,1,1,1,1,1
down_tissues,ENSMUSG00000028820,Sfpq,Sfpq,MGI:1918764,1,1,1,1,1,1
down_tissues,ENSMUSG00000028821,Syf2,Syf2,MGI:1915842,1,1,1,1,1,1
down_tissues,ENSMUSG00000028863,Meaf6,Meaf6,MGI:1917338,1,1,1,1,1,1
down_tissues,ENSMUSG00000028884,Rpa2,Rpa2,MGI:1339939,1,1,1,1,1,1
down_tissues,ENSMUSG00000028886,Eya3,Eya3,MGI:109339,1,1,1,1,1,1
down_tissues,ENSMUSG00000028893,Sesn2,Sesn2,MGI:2651874,1,1,1,1,1,1
down_tissues,ENSMUSG00000028899,Taf12,Taf12,MGI:1913714,1,1,1,1,1,1
down_tissues,ENSMUSG00000028914,Casp9,Casp9,MGI:1277950,1,1,1,1,1,1
down_tissues,ENSMUSG00000028933,Xrcc2,Xrcc2,MGI:1927345,1,1,1,1,1,1
